#{"t_start": 1756398273.156778, "env_id": "ALE/MarioBros-v5"}
r,l,t
3200.0,8019,10912.726791
0.0,11038,10984.524642
0.0,2460,11000.200258
1600.0,5259,11034.108214
1600.0,2588,11050.653135
0.0,2659,11067.584055
0.0,3224,11088.146332
1600.0,7710,11138.489244
0.0,2649,11155.589385
800.0,5371,11190.355908
0.0,1962,11202.878233
0.0,3945,11228.254692
0.0,4526,11257.367854
0.0,4525,11286.603764
800.0,4180,11313.608712
0.0,2475,11329.5357
3200.0,6174,11369.617716
0.0,4757,11400.214546
0.0,3206,11420.921353
1600.0,4895,11452.524719
0.0,2521,11468.943433
0.0,8464,11523.877599
0.0,4508,11552.997044
0.0,4744,11583.468761
1600.0,5516,11619.159983
1600.0,4780,11650.071345
1600.0,4085,11676.5628
0.0,4961,11709.00135
0.0,4260,11736.792608
0.0,4981,11769.113207
0.0,4992,11801.423058
0.0,8846,11858.995528
2400.0,4967,11890.896453
0.0,4538,11924.62108
800.0,4397,11967.133367
0.0,4962,12007.315758
0.0,3970,12038.279113
0.0,5376,12083.430312
0.0,5782,12124.21015
0.0,3406,12146.513897
800.0,2986,12165.930701
800.0,4754,12197.401821
0.0,2767,12215.444383
1600.0,4324,12243.848891
0.0,4574,12281.836705
0.0,3986,12309.591258
800.0,5598,12346.553448
800.0,8931,12406.130096
3200.0,7260,12453.798596
0.0,3257,12475.722218
0.0,3909,12503.037537
800.0,4740,12543.221951
800.0,3102,12571.770714
800.0,5542,12613.591149
0.0,5563,12652.440489
800.0,6212,12707.261026
1600.0,2970,12732.150836
2400.0,4882,12765.054255
1600.0,3490,12788.874807
2400.0,3111,12814.369215
0.0,1585,12824.569186
2400.0,5398,12878.897976
3200.0,3708,12907.477645
800.0,2783,12925.742881
0.0,846,12930.907412
0.0,688,12935.078072
1600.0,1078,12942.119099
2400.0,4571,12972.473081
2400.0,3342,12994.38221
3200.0,5587,13031.192964
800.0,1902,13043.458572
1600.0,2142,13057.397409
0.0,2780,13075.150793
4000.0,2747,13094.456257
800.0,2916,13122.569636
4000.0,5403,13164.766461
800.0,3325,13186.875945
3200.0,3589,13210.995006
2400.0,3378,13232.837038
3200.0,3509,13259.606947
3200.0,3968,13286.010332
3200.0,4140,13325.513542
2400.0,5557,13379.703152
2400.0,3954,13409.656301
2400.0,4744,13449.51686
2400.0,5232,13492.025692
1600.0,2432,13515.591703
2400.0,4940,13557.534489
1600.0,3219,13589.165904
3200.0,6483,13644.060508
4000.0,4144,13675.979964
1600.0,3986,13704.850464
3200.0,4180,13744.680703
3200.0,2981,13770.086359
2400.0,4823,13806.324427
4000.0,6738,13862.559413
2400.0,6485,13914.184542
4800.0,7079,13964.860117
2400.0,3686,13990.093904
800.0,2943,14009.885025
3200.0,10242,14079.530355
1600.0,1129,14086.714433
1600.0,1412,14095.714007
3200.0,2901,14115.051399
2400.0,9662,14181.444585
4000.0,4027,14208.413389
2400.0,3577,14231.680937
1600.0,4558,14269.172219
3200.0,4413,14303.189664
2400.0,3455,14326.006245
3200.0,2863,14345.053134
0.0,3056,14366.577187
3200.0,8597,14446.428507
0.0,3087,14471.561771
